Address,Country ,State,City,New customer records
"NewYorkCity, NY",US,NY,NewYorkCity,458
"LosAngeles, CA",US,CA,LosAngeles,388
"Brooklyn, NY",US,NY,Brooklyn,351
"Chicago, IL",US,IL,Chicago,329
"WashingtonDC, DC",US,DC,WashingtonDC,245
"Houston, TX",US,TX,Houston,230
"Atlanta, GA",US,GA,Atlanta,148
"SanDiego, CA",US,CA,SanDiego,147
"Seattle, WA",US,WA,Seattle,140
"Charlotte, NC",US,NC,Charlotte,136
"SanFrancisco, CA",US,CA,SanFrancisco,134
"Miami, FL",US,FL,Miami,128
"Austin, TX",US,TX,Austin,124
"Dallas, TX",US,TX,Dallas,123
"SanAntonio, TX",US,TX,SanAntonio,115
"Philadelphia, PA",US,PA,Philadelphia,111
"Alexandria, VA",US,VA,Alexandria,108
"LasVegas, NV",US,NV,LasVegas,93
"Phoenix, AZ",US,AZ,Phoenix,92
"Portland, OR",US,OR,Portland,92
"Orlando, FL",US,FL,Orlando,87
"Denver, CO",US,CO,Denver,83
"Arlington, VA",US,VA,Arlington,81
"Nashville, TN",US,TN,Nashville,77
"Minneapolis, MN",US,MN,Minneapolis,73
"Boston, MA",US,MA,Boston,72
"Sacramento, CA",US,CA,Sacramento,70
"TheBronx, NY",US,NY,TheBronx,69
"Cincinnati, OH",US,OH,Cincinnati,68
"Raleigh, NC",US,NC,Raleigh,63
"Oakland, CA",US,CA,Oakland,62
"SanJose, CA",US,CA,SanJose,62
"LongBeach, CA",US,CA,LongBeach,60
"Tampa, FL",US,FL,Tampa,60
"Columbus, OH",US,OH,Columbus,59
"Pittsburgh, PA",US,PA,Pittsburgh,59
"Jacksonville, FL",US,FL,Jacksonville,56
"Baltimore, MD",US,MD,Baltimore,54
"StLouis, MO",US,MO,StLouis,52
"SantaBarbara, CA",US,CA,SantaBarbara,51
"ColoradoSprings, CO",US,CO,ColoradoSprings,49
"SilverSpring, MD",US,MD,SilverSpring,49
"Pasadena, CA",US,CA,Pasadena,49
"Irvine, CA",US,CA,Irvine,49
"Tucson, AZ",US,AZ,Tucson,49
"FortWorth, TX",US,TX,FortWorth,48
"Richmond, VA",US,VA,Richmond,48
"Indianapolis, IN",US,IN,Indianapolis,47
"Durham, NC",US,NC,Durham,45
"JerseyCity, NJ",US,NJ,JerseyCity,44
"Torrance, CA",US,CA,Torrance,44
"Louisville, KY",US,KY,Louisville,42
"Birmingham, AL",US,AL,Birmingham,41
"KansasCity, MO",US,MO,KansasCity,40
"Scottsdale, AZ",US,AZ,Scottsdale,40
"Marietta, GA",US,GA,Marietta,40
